id,company,assignee,title,inventor/author,priority.date,filing/creation.date,publication.date,grant.date,result.link,representative.figure.link,inventorlocation
US-2573044-A,Aeronca,Aeronca Aircraft Corp,Control mechanism ,Morris William Tudor,17404,17404,18931,18931,https://patents.google.com/patent/US2573044A/en,https://patentimages.storage.googleapis.com/6a/2f/a1/4b130ee954d096/US2573044-drawings-page-1.png,"MECHANISM William Tudor Morris, Middletown, Ohio, "
US-2521339-A,Aeronca,Aeronca Aircraft Corp,Aircraft seat ,Edward R Burn,16649,16649,18511,18511,https://patents.google.com/patent/US2521339A/en,https://patentimages.storage.googleapis.com/4d/b0/14/1776a102f6d985/US2521339-drawings-page-1.png,"RCRAFT SEAT Edward R. Burn, Cuyahoga Falls, Ohio, "
US-2601902-A,Beech,Beech Aircraft Corp,Multiengine safety feathering system ,"Theodore A Wells, Harry L Reiter",17124,17124,19176,19176,https://patents.google.com/patent/US2601902A/en,https://patentimages.storage.googleapis.com/e6/f7/89/bbcb080908532d/US2601902-drawings-page-1.png,"re A. Wells and Harry L. Reiter, Wichita, 
Kans., "
US-2576867-A,Beech,Beech Aircraft Corp,Safety harness ,Jr Leonard Lee Wilson,18531,18531,18959,18959,https://patents.google.com/patent/US2576867A/en,https://patentimages.storage.googleapis.com/5b/49/a0/389ca5fa55700a/US2576867-drawings-page-1.png,"Y HARNESS Leonard Lee Wilson, Jr., Wichita, Kans, "
US-2497957-A,Beech,Beech Aircraft Corp,Window frame ,Perry H Pelley,16897,16897,18315,18315,https://patents.google.com/patent/US2497957A/en,https://patentimages.storage.googleapis.com/df/bb/04/862b4c8adbbe95/US2497957-drawings-page-1.png," WINDOW FRAIME """"P'errfH. Pelley, Wichita, Kansg; "
US-2454981-A,Beech,Beech Aircraft Corp,Aircraft control ,Jr Jesse L Vint,16649,16649,17867,17867,https://patents.google.com/patent/US2454981A/en,https://patentimages.storage.googleapis.com/4d/4e/cf/4ec28316e95dc7/US2454981-drawings-page-1.png,"CRAFT CONTROL Jesse L. Vint, Jr., Wichita, Kans., "
US-2432396-A,Beech,Beech Aircraft Corp,Airplane wing ,Harold W Earhart,16405,16405,17510,17510,https://patents.google.com/patent/US2432396A/en,https://patentimages.storage.googleapis.com/a4/7e/e1/5680370b607f2d/US2432396-drawings-page-1.png,"7 AIRPLANE WING Harold W. Earhart, Wichita,Kans., "
US-2793779-A,Beech,Beech Aircraft Corp,High nesting sectional tank ,Warren G Woods,20425,20425,20968,20968,https://patents.google.com/patent/US2793779A/en,https://patentimages.storage.googleapis.com/27/6f/a9/3809ddcfc39a42/US2793779-drawings-page-1.png,"G SECTIONAL TANK Warren G. Woods, Wichita, Kans., "
US-2926688-A,Beech,Beech Aircraft Corp,Precise control distribution of airplane fuel stores ,"Richard A Muma, Markley John Lee",20583,20583,21976,21976,https://patents.google.com/patent/US2926688A/en,https://patentimages.storage.googleapis.com/3e/50/5d/e026a83fab9ded/US2926688-drawings-page-1.png,"rd A. Muma :and John Lee Markley, Wichita, Kano, :"
US-2448362-A,Beech,Beech Aircraft Corp,Aircraft beam chord construction ,Harold W Earhart,16706,16706,17776,17776,https://patents.google.com/patent/US2448362A/en,https://patentimages.storage.googleapis.com/cc/bf/a3/75bb019b6d4ac8/US2448362-drawings-page-1.png,"D CONSTRUCTION Harold W. Earhart, Wichita, Kans., "
US-2807327-A,Beech,Beech Aircraft Corp,Hydraulic control full feathering propeller ,Orin W Scott,19921,19921,21087,21087,https://patents.google.com/patent/US2807327A/en,https://patentimages.storage.googleapis.com/0e/50/72/5d034fbae76130/US2807327-drawings-page-1.png,"ATHERING PROPELLER Orin W. Scott, Wichita, Kans., "
US-2601901-A,Beech,Beech Aircraft Corp,Automatic propeller feathering system ,Richard A Muma,18028,18028,19176,19176,https://patents.google.com/patent/US2601901A/en,https://patentimages.storage.googleapis.com/31/5d/40/9084d13686d1c7/US2601901-drawings-page-1.png,"FEATHERING STEM Richard A. Muma, Wichita, Kans., 
"
US-2412885-A,Beech,Beech Aircraft Corp,Shock absorber ,Ralph M Harmon,16359,16359,17153,17153,https://patents.google.com/patent/US2412885A/en,https://patentimages.storage.googleapis.com/c4/8a/e4/990812a134897a/US2412885-drawings-page-1.png,"46 SHOCK ABSORBER Ralph M. Harmon, Wichita, Kane, "
US-2781935-A,Beech,Beech Aircraft Corp,High nesting sectional fuel tank ,"Charles W Spieth, Herbert M Wright, Alfred L Clark",20431,20431,20870,20870,https://patents.google.com/patent/US2781935A/en,https://patentimages.storage.googleapis.com/fe/2b/8f/db59b7c00b18d0/US2781935-drawings-page-1.png," M. Wright, and Alfred L. 
Clark, Wichita, Kans., "
US-2911050-A,Beech,Beech Aircraft Corp,Constant speed propeller with selfcontained pump and governor ,Orin W Scott,20647,20647,21857,21857,https://patents.google.com/patent/US2911050A/en,https://patentimages.storage.googleapis.com/4f/ef/90/0a961c2d13836a/US2911050-drawings-page-1.png,PROPELLERHWIIIH SELF- CONTAINED PUMP AND GOVERNOR 
US-2502315-A,Beech,Beech Aircraft Corp,Operating mechanism for high lift devices for airplanes ,Harold W Earhart,16859,16859,18350,18350,https://patents.google.com/patent/US2502315A/en,https://patentimages.storage.googleapis.com/a3/79/37/e38326bcd62a9f/US2502315-drawings-page-1.png,"OR AIRPLANES I Harold W. Earhart, Wichita, Kans., "
