Company,City,State
Aeronca,Middletown,Ohio
Beech,Wichita,Kansas
Bell,Buffalo,New York
Bell,Marietta,Georgia
Bellanca,New Castle,Delaware
Boeing,Renton,Washington
Boeing,Seattle,Washington
Boeing,Wichita,Kansas
Brewster,Johnsville,Pennsylvania
Budd,Philadelphia,Pennsylvania
Cessna,Wichita,Kansas
Chance Vought,Stratford,Connecticut
Columbia,Valley Stream,New York
Cons Vultee,Allentown,Pennsylvania
Cons Vultee,Downey,California
Cons Vultee,Fort Worth,Texas
Cons Vultee,Nashville,Tennessee
Cons Vultee,New Orleans,Louisiana
Cons Vultee,San Diego,California
Cons Vultee,Wayne,Michigan
Culver,Wichita,Kansas
Curtiss,Buffalo,New York
Curtiss,Columbus,Ohio
Curtiss,Louisville,Kentucky
Curtiss,St. Louis,Missouri
Douglas,Chicago,Illinois
Douglas,El Segundo,California
Douglas,Long Beach,California
Douglas,Oklahoma City,Oklahoma
Douglas,Santa Monica,California
Douglas,Tulsa,Oklahoma
Eastern,Linden,New Jersey
Eastern,Trenton,New Jersey
Fairchild,Burlington,North Carolina
Fairchild,Hagerstown,Maryland
Fisher,Cleveland,Ohio
Fleetwings,Bristol,Pennsylvania
Ford,Willow Run,Michigan
Globe,Fort Worth,Texas
Goodyear,Akron,Ohio
Grumman,Bethpage,New York
Howard,Chicago,Illinois
Interstate,El Segundo,California
Lockheed,Burbank,California
Martin,Baltimore,Maryland
Martin,Omaha,Nebraska
McDonnell,Memphis,Tennessee
Nash,Detroit,Michigan
Naval,Philadelphia,Pennsylvania
North American,Dallas,Texas
North American,Inglewood,California
North American,Kansas City,Kansas
Northrop,Hawthorne,California
Piper,Lock Haven,Pennsylvania
Republic,Evansville,Indiana
Republic,Farmingdale,New York
Ryan,San Diego,California
Sikorsky,Stratford,Connecticut
St. Louis,St. Louis,Missouri
Taylorcraft,Alliance,Ohio
Timm,Van Nuys,California
