state,year,quarter,pi
Alabama,1989,1,3.9843526
Alabama,1989,2,4.4278388
Alabama,1989,3,4.1730733
Alabama,1989,4,3.4858823
Alabama,1990,1,3.8655407
Alabama,1990,2,2.9516561
Alabama,1990,3,3.3405547
Alabama,1990,4,4.1626353
Alabama,1991,1,3.6543293
Alabama,1991,2,4.8622913
Alabama,1991,3,4.3069077
Alabama,1991,4,2.1900873
Alabama,1992,1,1.3863784
Alabama,1992,2,0.61580706
Alabama,1992,3,0.72052526
Alabama,1992,4,2.1940422
Alabama,1993,1,2.1009483
Alabama,1993,2,2.5967183
Alabama,1993,3,2.6251307
Alabama,1993,4,2.4957716
Alabama,1994,1,2.2712169
Alabama,1994,2,2.4940391
Alabama,1994,3,1.970714
Alabama,1994,4,1.1024915
Alabama,1995,1,1.6395566
Alabama,1995,2,1.3698256
Alabama,1995,3,2.3185992
Alabama,1995,4,3.5072784
Alabama,1996,1,3.8638196
Alabama,1996,2,3.5747046
Alabama,1996,3,3.0192449
Alabama,1996,4,2.5848145
Alabama,1997,1,2.1274326
Alabama,1997,2,1.6752034
Alabama,1997,3,1.4805816
Alabama,1997,4,1.0719895
Alabama,1998,1,0.98991185
Alabama,1998,2,0.44838938
Alabama,1998,3,0.14106321
Alabama,1998,4,0.87746888
Alabama,1999,1,0.83322155
Alabama,1999,2,1.8948981
Alabama,1999,3,2.6564705
Alabama,1999,4,2.654896
Alabama,2000,1,2.9864075
Alabama,2000,2,3.0287044
Alabama,2000,3,2.7469001
Alabama,2000,4,2.5034776
Alabama,2001,1,2.9135289
Alabama,2001,2,2.1446683
Alabama,2001,3,2.7375238
Alabama,2001,4,2.127485
Alabama,2002,1,1.6446564
Alabama,2002,2,3.6520817
Alabama,2002,3,3.3047397
Alabama,2002,4,2.6147993
Alabama,2003,1,2.8101056
Alabama,2003,2,1.9138761
Alabama,2003,3,1.4896415
Alabama,2003,4,1.3897791
Alabama,2004,1,2.0254419
Alabama,2004,2,1.8557111
Alabama,2004,3,2.2141848
Alabama,2004,4,2.7661448
Alabama,2005,1,1.7583908
Alabama,2005,2,1.3258125
Alabama,2005,3,1.426658
Alabama,2005,4,2.9302301
Alabama,2006,1,3.0040843
Alabama,2006,2,3.5796282
Alabama,2006,3,3.5234072
Alabama,2006,4,2.9059966
Alabama,2007,1,2.8060265
Alabama,2007,2,1.6688598
Alabama,2007,3,2.0210826
Alabama,2007,4,2.8306265
Alabama,2008,1,3.3794477
Alabama,2008,2,5.2535577
Alabama,2008,3,5.6156955
Alabama,2008,4,3.6509762
Alabama,2009,1,2.4393287
Alabama,2009,2,0.91775709
Alabama,2009,3,0.55903614
Alabama,2009,4,1.5605706
Alabama,2010,1,2.9326887
Alabama,2010,2,2.9595382
Alabama,2010,3,2.4417343
Alabama,2010,4,3.5485477
Alabama,2011,1,3.7853601
Alabama,2011,2,4.527658
Alabama,2011,3,5.3135042
Alabama,2011,4,4.619926
Alabama,2012,1,3.322278
Alabama,2012,2,2.7893672
Alabama,2012,3,2.3744326
Alabama,2012,4,2.0981925
Alabama,2013,1,2.0532491
Alabama,2013,2,1.2777954
Alabama,2013,3,1.2934334
Alabama,2013,4,0.85461706
Alabama,2014,1,1.0091624
Alabama,2014,2,2.313751
Alabama,2014,3,1.4607126
Alabama,2014,4,0.10417902
Alabama,2015,1,-5.90E-06
Alabama,2015,2,-0.55816448
Alabama,2015,3,-0.95476162
Alabama,2015,4,-0.28056955
Alabama,2016,1,-0.64194518
Alabama,2016,2,-0.3396911
Alabama,2016,3,0.80312425
Alabama,2016,4,1.8063211
Alabama,2017,1,2.1013272
Alabama,2017,2,2.4822798
Alabama,2017,3,1.1577666
Alabama,2017,4,-0.94276398
Alaska,1978,1,1.3894299
Alaska,1978,2,2.1361556
Alaska,1978,3,5.8542442
Alaska,1978,4,4.477726
Alaska,1979,1,5.597373
Alaska,1979,2,5.475965
Alaska,1979,3,5.304121
Alaska,1979,4,5.527833
Alaska,1980,1,5.5668449
Alaska,1980,2,6.0049081
Alaska,1980,3,5.5687127
Alaska,1980,4,5.9906073
Alaska,1981,1,5.5893698
Alaska,1981,2,5.1824331
Alaska,1981,3,5.3085718
Alaska,1981,4,4.6472716
Alaska,1982,1,4.2801199
Alaska,1982,2,2.9830449
Alaska,1982,3,1.9812795
Alaska,1982,4,2.1434941
Alaska,1983,1,3.0310166
Alaska,1983,2,5.3025122
Alaska,1983,3,5.3210998
Alaska,1983,4,5.0934982
Alaska,1984,1,4.8198195
Alaska,1984,2,2.9725156
Alaska,1984,3,2.337364
Alaska,1984,4,2.0857685
Alaska,1985,1,1.6490897
Alaska,1985,2,1.1001511
Alaska,1985,3,1.8256601
Alaska,1985,4,1.5954225
Alaska,1986,1,0.96705449
Alaska,1986,2,1.5782288
Alaska,1986,3,1.4899925
Alaska,1986,4,1.4778254
Alaska,1989,1,3.1299393
Alaska,1989,2,3.7624328
Alaska,1989,3,3.3688223
Alaska,1989,4,3.2269604
Alaska,1990,1,4.1813169
Alaska,1990,2,3.299547
Alaska,1990,3,3.6179836
Alaska,1990,4,3.7075639
Alaska,1991,1,4.034688
Alaska,1991,2,4.1097598
Alaska,1991,3,3.4387326
Alaska,1991,4,1.5572028
Alaska,1992,1,0.7951768
Alaska,1992,2,1.2106937
Alaska,1992,3,1.3966709
Alaska,1992,4,2.7647185
Alaska,1993,1,2.9086959
Alaska,1993,2,2.4833493
Alaska,1993,3,2.245398
Alaska,1993,4,1.7398111
Alaska,1994,1,1.1804632
Alaska,1994,2,1.145476
Alaska,1994,3,1.5739671
Alaska,1994,4,1.9910498
Alaska,1995,1,2.3197587
Alaska,1995,2,2.0092108
Alaska,1995,3,1.3446372
Alaska,1995,4,1.9226513
Alaska,1996,1,2.3345494
Alaska,1996,2,3.1505947
Alaska,1996,3,3.1452746
Alaska,1996,4,3.0044105
Alaska,1997,1,2.3311577
Alaska,1997,2,1.9897888
Alaska,1997,3,1.9270132
Alaska,1997,4,1.7955515
Alaska,1998,1,1.5854623
Alaska,1998,2,1.0879705
Alaska,1998,3,0.91767853
Alaska,1998,4,0.91221118
Alaska,1999,1,1.042241
Alaska,1999,2,0.95964098
Alaska,1999,3,1.7221014
Alaska,1999,4,1.2378587
Alaska,2000,1,0.74837446
Alaska,2000,2,1.4872369
Alaska,2000,3,1.5599573
Alaska,2000,4,1.2943833
Alaska,2001,1,2.3295949
Alaska,2001,2,2.6311138
Alaska,2001,3,3.0529754
Alaska,2001,4,2.7482691
Alaska,2002,1,2.0205994
Alaska,2002,2,1.5725615
Alaska,2002,3,0.66294253
Alaska,2002,4,1.497334
Alaska,2003,1,1.5423393
Alaska,2003,2,1.9049747
Alaska,2003,3,3.2877369
Alaska,2003,4,3.8012173
Alaska,2004,1,3.8836424
Alaska,2004,2,4.498795
Alaska,2004,3,3.6114624
Alaska,2004,4,3.1200728
Alaska,2005,1,2.9198022
Alaska,2005,2,3.2697296
Alaska,2005,3,4.0269909
Alaska,2005,4,3.8307331
Alaska,2006,1,4.9865723
Alaska,2006,2,4.6305475
Alaska,2006,3,4.0257034
Alaska,2006,4,3.0566657
Alaska,2007,1,2.7445586
Alaska,2007,2,2.1804223
Alaska,2007,3,2.6430244
Alaska,2007,4,3.1249287
Alaska,2008,1,2.5952575
Alaska,2008,2,3.3732009
Alaska,2008,3,3.6652105
Alaska,2008,4,3.8074872
Alaska,2009,1,4.6377416
Alaska,2009,2,3.3246343
Alaska,2009,3,2.7022636
Alaska,2009,4,2.7432625
Alaska,2010,1,0.85473114
Alaska,2010,2,1.5163397
Alaska,2010,3,0.83632773
Alaska,2010,4,-0.57817495
Alaska,2011,1,0.99797606
Alaska,2011,2,3.2351012
Alaska,2011,3,4.8311691
